"Timestamp","1- ¿Como describiria el nivel tecnologico con el que opera en su lugar de trabajo?","2- ¿Cuanto tiempo estima que usted o su equipo pierden a la semana realizando tareas repetitivas o que puedan ser automatizada?","3 - ¿Como se almacena actualmente la información importante en su lugar de trabajo (inventario, datos de cliente, ventas diarias)?","4 - ¿Cree que su negocio está perdiendo dinero, clientes o oportunidades de crecimiento debido a falta de organización o lentitud en procesos?","5- ¿Que tan dispuesto estaria a implementar un sistema o programa a la medida que automatice el trabajo pesado para su negocio?","6- ¿Cual considera que son sus principales frenos para automatizar o modernizar los procesos de su empresa?","7- ¿Estaría dispuesto a contar con un equipo tecnológico externo que conozca su negocio y se encargue continuamente del soporte, mantenimiento y mejora de sus sistemas?","8- ¿Qué tan dispuesto(a) estaría a aprender y utilizar nuevas tecnologías que puedan ayudarle a ahorrar tiempo, reducir costos y mejorar la gestión de su negocio?","9- ¿Qué sería lo más importante para usted al momento de decidir implementar una nueva herramienta tecnológica en su negocio?","10- Si pudiera mejorar o automatizar un solo proceso de su negocio hoy, ¿cuál elegiría y qué problema le está causando actualmente?"
"2026/08/14 12:59:48 p.m. CST","Muy Bajo","Entre 5 y 10 horas a la semana","En libretas, folders o agendas físicas","5","Dispuesto","Desconocimiento sobre que opciones existen","Definitivamente","Muy Dispuesto","Automatice mi negocio;Precio accesible;Aumente mis ingresos;Facilidad de uso","Mejoraría los reportes porque genera duplicados para mejorar el servicio."
"2026/08/14 12:59:49 p.m. CST","Muy Bajo","Entre 5 y 10 horas a la semana","En libretas, folders o agendas físicas","5","Dispuesto","Desconocimiento sobre que opciones existen","Definitivamente","Muy Dispuesto","Precio accesible","Mejoraría el seguimiento de garantías porque se maneja de forma dispersa para tener información centralizada."
"2026/08/14 12:59:50 p.m. CST","Muy Bajo","Entre 5 y 10 horas a la semana","En libretas, folders o agendas físicas","5","Dispuesto","Desconocimiento sobre que opciones existen","Definitivamente","Muy Dispuesto","Aumente mis ingresos","Mejoraría el archivo de documentos porque depende de hojas de cálculo para reducir errores."
"2026/08/14 12:59:50 p.m. CST","Muy Bajo","Entre 5 y 10 horas a la semana","En libretas, folders o agendas físicas","5","Dispuesto","Desconocimiento sobre que opciones existen","Definitivamente","Muy Dispuesto","Facilidad de uso","Mejoraría las compras porque no tiene responsables claros para reducir errores."
"2026/08/14 12:59:50 p.m. CST","Muy Bajo","Entre 5 y 10 horas a la semana","En libretas, folders o agendas físicas","3","Dispuesto","Desconocimiento sobre que opciones existen","Definitivamente","Muy Dispuesto","Automatice mi negocio;Precio accesible;Aumente mis ingresos;Facilidad de uso","Mejoraría los turnos del equipo porque no deja ver el estado real para tener información centralizada."
"2026/08/14 12:59:50 p.m. CST","Muy Bajo","Entre 5 y 10 horas a la semana","En libretas, folders o agendas físicas","4","Dispuesto","Desconocimiento sobre que opciones existen","Definitivamente","Muy Dispuesto","Automatice mi negocio;Precio accesible;Aumente mis ingresos;Facilidad de uso","Mejoraría la atención de consultas porque quita tiempo al equipo para responder más rápido."
"2026/08/14 12:59:50 p.m. CST","Muy Bajo","Entre 5 y 10 horas a la semana","En libretas, folders o agendas físicas","3","Dispuesto","Desconocimiento sobre que opciones existen","Definitivamente","Muy Dispuesto","Automatice mi negocio;Precio accesible;Aumente mis ingresos;Facilidad de uso","Mejoraría la agenda de citas porque genera duplicados para aumentar la productividad."
"2026/08/14 12:59:51 p.m. CST","Muy Bajo","Entre 5 y 10 horas a la semana","En libretas, folders o agendas físicas","3","Dispuesto","Desconocimiento sobre que opciones existen","Definitivamente","Muy Dispuesto","Automatice mi negocio;Precio accesible;Aumente mis ingresos;Facilidad de uso","Mejoraría los pagos pendientes porque causa olvidos para aumentar la productividad."
"2026/08/14 12:59:51 p.m. CST","Muy Bajo","Entre 5 y 10 horas a la semana","En libretas, folders o agendas físicas","5","Dispuesto","Desconocimiento sobre que opciones existen","Definitivamente","Muy Dispuesto","Automatice mi negocio;Precio accesible;Aumente mis ingresos","Mejoraría la atención de consultas porque no tiene alertas para mejorar el servicio."
"2026/08/14 12:59:51 p.m. CST","Muy Bajo","Entre 5 y 10 horas a la semana","En libretas, folders o agendas físicas","3","Dispuesto","Desconocimiento sobre que opciones existen","Definitivamente","Muy Dispuesto","Automatice mi negocio;Precio accesible;Aumente mis ingresos;Facilidad de uso","Mejoraría el inventario porque causa olvidos para ordenar el trabajo."
"2026/08/14 12:59:51 p.m. CST","Muy Bajo","Entre 5 y 10 horas a la semana","En libretas, folders o agendas físicas","3","Dispuesto","Desconocimiento sobre que opciones existen","Definitivamente","Muy Dispuesto","Aumente mis ingresos;Facilidad de uso","Mejoraría las cotizaciones porque causa olvidos para controlar mejor los costos."
"2026/08/14 12:59:51 p.m. CST","Muy Bajo","Entre 5 y 10 horas a la semana","En libretas, folders o agendas físicas","5","Dispuesto","Desconocimiento sobre que opciones existen","Definitivamente","Muy Dispuesto","Automatice mi negocio;Aumente mis ingresos;Facilidad de uso","Mejoraría el control de gastos porque no tiene responsables claros para evitar tareas repetidas."
"2026/08/14 12:59:51 p.m. CST","Muy Bajo","Entre 5 y 10 horas a la semana","En libretas, folders o agendas físicas","3","Dispuesto","Desconocimiento sobre que opciones existen","Definitivamente","Muy Dispuesto","Automatice mi negocio;Precio accesible;Aumente mis ingresos;Facilidad de uso","Mejoraría el registro de proveedores porque se maneja de forma dispersa para reducir errores."
"2026/08/14 12:59:51 p.m. CST","Muy Bajo","Entre 5 y 10 horas a la semana","En libretas, folders o agendas físicas","4","Dispuesto","Desconocimiento sobre que opciones existen","Definitivamente","Muy Dispuesto","Precio accesible","Mejoraría los indicadores porque requiere mucho trabajo manual para aumentar la productividad."
"2026/08/14 12:59:52 p.m. CST","Muy Bajo","Entre 5 y 10 horas a la semana","En libretas, folders o agendas físicas","4","Dispuesto","Desconocimiento sobre que opciones existen","Definitivamente","Muy Dispuesto","Automatice mi negocio;Precio accesible;Facilidad de uso","Mejoraría la comunicación con clientes porque requiere revisar varios archivos para aumentar la productividad."
"2026/08/14 12:59:52 p.m. CST","Muy Bajo","Entre 5 y 10 horas a la semana","En libretas, folders o agendas físicas","5","Dispuesto","Desconocimiento sobre que opciones existen","Definitivamente","Muy Dispuesto","Automatice mi negocio;Precio accesible;Aumente mis ingresos;Facilidad de uso","Mejoraría el seguimiento de garantías porque impide medir resultados para ahorrar tiempo."
"2026/08/14 12:59:52 p.m. CST","Muy Bajo","Entre 5 y 10 horas a la semana","En libretas, folders o agendas físicas","3","Dispuesto","Desconocimiento sobre que opciones existen","Definitivamente","Muy Dispuesto","Precio accesible;Aumente mis ingresos;Facilidad de uso","Mejoraría la planificación semanal porque quita tiempo al equipo para tener información centralizada."
