Relacion,Prueba,Efecto,p_value,n,Nota
Madurez tecnológica vs disposición,V de Cramér corregida (sin signo),0.442,< 0.001,321,"Mide fuerza de asociación, no dirección. Tabla 4x4, todas las frecuencias esperadas >= 9."
Tiempo perdido vs disposición,V de Cramér corregida (sin signo),0.453,< 0.001,321,"Asociación moderada. Tabla 4x4, frecuencias esperadas >= 11."
Freno principal vs disposición,V de Cramér corregida (sin signo),0.434,< 0.001,321,"Asociación moderada. Tabla 4x4, frecuencias esperadas >= 9."
Equipo externo vs disposición,V de Cramér corregida (sin signo),0.419,< 0.001,321,"Asociación moderada. Tabla 4x4, frecuencias esperadas >= 10."
Aprendizaje vs disposición,V de Cramér corregida (sin signo),0.418,< 0.001,321,"Asociación moderada. Tabla 4x4, frecuencias esperadas >= 9."
Almacenamiento vs percepción de pérdida,V de Cramér corregida (sin signo),0.236,no fiable,321,"ADVERTENCIA: tabla 7x5 con 20 de 35 celdas de frecuencia esperada < 5 (mínimo 0.45). La aproximación chi-cuadrado no se sostiene; tomar solo como indicio y reagrupar categorías antes de citarla."
Madurez vs disposición (Spearman),rho de Spearman (con signo),-0.201,< 0.001,321,"Negativa: a mayor madurez declarada, menor disposición. No contradice la fila 1: la V mide asociación total y esta rho mide solo la tendencia monótona."
Horas perdidas vs dolor (Spearman),rho de Spearman (con signo),0.177,0.001,321,Efecto pequeño; sirve como hipótesis a validar en entrevistas.
Disposición vs equipo externo (Spearman),rho de Spearman (con signo),0.144,0.010,321,Efecto pequeño; el más débil del archivo.
Disposición vs aprendizaje (Spearman),rho de Spearman (con signo),0.218,< 0.001,321,Efecto pequeño a moderado.
Equipo externo vs aprendizaje (Spearman),rho de Spearman (con signo),0.638,< 0.001,321,Asociación más fuerte del archivo; coherente con el argumento comercial del plan Business.
